#Skimap
#La Norma ski resort

NODES
53

LINKS
0	4	1
0	6	1
1	2	1
2	3	1
2	4	1
3	39	1
4	3	1
4	5	1
4	20	1
5	7	1
6	5	1
6	7	1
7	8	1
8	9	1
8	9	1
9	11	1
10	12	1
11	13	1
12	11	1
12	14	1
13	14	1
13	18	1
14	15	1
15	17	1
16	15	1
16	17	1
17	52	1
18	16	1
19	18	1
19	24	1
20	18	1
21	22	1
22	18	1
22	18	1
22	23	1
23	18	1
24	23	1
24	25	1
24	26	1
25	23	1
25	49	1
26	25	1
27	28	1
27	31	1
28	2	1
28	35	1
29	28	1
29	30	1
30	31	1
30	32	1
31	33	1
32	33	1
32	34	1
33	40	1
34	33	1
34	37	1
35	32	1
35	36	1
35	38	1
36	34	1
38	36	1
38	39	1
39	40	1
40	41	1
40	41	1
40	46	1
41	42	1
41	42	1
41	44	1
41	44	1
42	43	1
43	26	1
43	45	1
44	45	1
44	46	1
44	47	1
45	47	1
47	48	1
48	49	1
48	50	1
49	52	1
50	52	1
51	50	1
51	52	1
